Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Compass X,Compass Y,Compass Z,Lidar,Temperature,Time
-6,29,-262,-73,75,28,9,118,46,88,23.41,257
-5,30,-262,-72,73,24,7,115,47,89,23.47,344
-6,29,-263,-71,73,27,8,116,45,90,23.41,430
-6,30,-265,-71,73,23,8,118,45,88,23.35,516
-7,29,-257,-72,75,28,8,118,44,86,23.47,602
-2,31,-263,-72,73,24,9,117,47,89,23.51,689
-5,29,-261,-69,69,27,3,119,44,88,23.39,775
-4,30,-263,-78,77,19,8,116,43,90,23.35,861
-7,27,-260,-73,74,22,11,119,48,89,23.35,948
-3,29,-260,-72,73,25,12,118,44,88,23.35,1034
-7,29,-261,-72,73,22,13,117,48,89,23.47,1121
-5,32,-263,-72,73,29,11,119,46,88,23.39,1207
-5,31,-261,-72,74,20,15,120,44,90,23.39,1293
-2,-4,-264,-72,74,28,24,104,43,88,23.41,1380
-15,6,-263,-72,74,15,4,146,63,90,23.35,1466
-3,39,-265,-71,73,38,-9,135,43,88,23.41,1553
-11,22,-267,-74,75,6,-11,242,45,89,23.41,1639
-11,30,-262,-71,73,37,7,226,44,90,23.35,1725
-4,28,-264,-72,74,28,15,117,45,89,23.41,1812
-10,29,-261,-74,74,7,15,115,48,88,23.29,1898
-3,31,-263,-70,72,47,13,119,50,88,23.35,1985
-5,29,-259,-74,73,7,15,116,50,88,23.33,2071
-8,29,-262,-71,73,34,14,118,51,86,23.29,2157
-2,30,-265,-73,73,21,15,117,45,89,23.35,2244
-8,29,-261,-73,74,19,16,116,47,88,23.35,2330
-3,31,-262,-71,72,36,14,117,49,89,23.27,2417
-3,30,-262,-74,74,12,21,115,48,87,23.39,2503
-5,29,-261,-71,73,33,21,117,45,88,23.33,2589
-2,29,-262,-73,73,20,15,118,49,88,23.29,2676
-7,28,-262,-72,73,22,18,114,48,88,23.41,2762
-3,30,-262,-72,73,31,17,116,45,89,23.33,2849
-4,30,-260,-73,73,16,18,116,49,89,23.23,2935
-5,31,-263,-71,73,31,27,124,45,89,23.23,3022
0,10,-264,-73,73,20,32,121,44,89,23.29,3108
-2,48,-268,-72,73,24,38,104,48,89,23.27,3194
-7,52,-262,-72,72,29,-7,199,49,88,23.29,3281
7,25,-260,-73,74,15,18,119,120,89,23.33,3367
-1,87,-264,-71,72,33,37,117,47,88,23.29,3454
-4,23,-262,-73,74,19,-9,207,48,87,23.39,3540
-10,-27,-268,-72,73,23,22,109,47,89,23.29,3627
-2,53,-266,-72,73,28,16,112,47,90,23.29,3714
-4,29,-261,-72,73,19,19,112,46,89,23.27,3800
-5,29,-263,-71,73,27,17,116,49,89,23.33,3887
-2,30,-262,-72,73,25,15,113,50,88,23.33,3973
-6,27,-263,-72,72,21,17,115,51,88,23.39,4059
-4,29,-262,-72,73,26,15,117,52,88,23.27,4146
-5,30,-264,-72,73,23,14,116,49,88,23.27,4232
-6,32,-261,-72,73,25,17,114,50,87,23.41,4319
-4,30,-261,-72,73,25,15,113,48,87,23.41,4405
-4,30,-262,-72,73,22,15,113,49,88,23.35,4492
-4,30,-261,-72,73,26,14,113,47,88,23.29,4578
-5,30,-263,-73,74,23,17,117,47,88,23.27,4664
-6,14,-262,-72,73,25,-5,223,44,89,23.35,4751
-5,51,-266,-72,73,26,17,182,62,88,23.27,4837
-5,13,-258,-72,73,22,18,119,51,88,23.39,4924
-9,14,-262,-73,73,26,24,112,44,88,23.27,5010
2,39,-267,-72,74,24,15,113,48,89,23.27,5096
-6,29,-261,-72,73,21,14,113,49,88,23.23,5183
-4,30,-262,-72,73,28,15,116,44,88,23.33,5269
-4,30,-262,-72,73,23,17,112,46,88,23.33,5356
-5,29,-263,-72,73,22,14,115,49,89,23.23,5442
-2,31,-261,-73,72,28,17,113,47,89,23.35,5528
-4,30,-261,-72,72,20,19,115,51,88,23.23,5615
-5,31,-262,-72,73,27,16,116,50,90,23.33,5701
-6,31,-262,-72,73,23,14,113,49,88,23.33,5788
-5,31,-260,-73,73,23,15,115,49,88,23.23,5874
