Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Compass X,Compass Y,Compass Z,Lidar,Temperature,Time
-3,31,-262,-72,67,26,185,221,-17,54,23.87,8993
-3,31,-261,-71,67,27,185,222,-17,55,23.81,9079
-3,32,-260,-72,68,25,181,220,-19,55,23.87,9166
-3,33,-262,-72,67,26,182,222,-17,52,23.81,9252
-5,32,-262,-72,66,26,183,221,-19,54,23.81,9339
-3,31,-261,-71,68,26,187,221,-18,54,23.81,9425
-4,32,-264,-72,67,26,181,221,-19,53,23.85,9512
-3,32,-261,-72,67,25,182,223,-19,53,23.87,9598
-4,31,-262,-72,67,26,183,222,-17,56,23.79,9686
-4,32,-263,-72,67,26,182,223,-21,52,23.85,9772
-3,31,-262,-72,67,26,181,221,-18,54,23.81,9859
-3,31,-263,-72,67,27,182,222,-14,54,23.81,9945
-5,31,-262,-71,67,26,179,221,-16,55,23.81,10031
-4,31,-262,-72,67,27,181,225,-17,55,23.81,10118
-4,32,-262,-72,67,26,181,224,-17,53,23.79,10205
-3,32,-263,-72,67,26,179,223,-15,54,23.81,10291
-4,34,-254,-71,68,26,178,224,-18,52,23.87,10378
-3,31,-262,-72,67,26,182,221,-19,55,23.97,10464
-3,31,-260,-72,67,26,183,222,-18,55,23.81,10551
-4,32,-263,-71,67,27,181,225,-17,52,23.91,10637
-4,30,-264,-72,67,26,184,223,-17,53,23.85,10724
-3,32,-261,-72,67,26,182,223,-19,51,23.85,10810
-4,32,-262,-71,67,26,181,222,-19,52,23.79,10897
-4,31,-263,-72,67,26,183,223,-19,50,23.81,10983
-2,31,-261,-72,67,26,181,220,-17,54,23.81,11070
-4,32,-263,-72,66,26,182,222,-19,55,23.85,11156
-4,31,-263,-72,67,26,184,221,-19,51,23.81,11243
-3,32,-264,-71,68,26,183,222,-19,51,23.87,11329
-2,30,-262,-72,67,26,182,223,-21,53,23.81,11416
-4,32,-261,-73,67,26,181,220,-18,53,23.85,11502
-4,32,-261,-72,67,26,181,223,-20,51,23.85,11589
-3,31,-261,-72,67,26,182,220,-16,56,23.71,11675
-2,32,-263,-72,68,26,180,224,-20,53,23.91,11762
-4,31,-264,-71,67,26,179,223,-17,50,23.79,11848
-4,32,-261,-72,67,26,181,223,-15,53,23.81,11935
-6,32,-265,-72,68,26,182,223,-13,55,23.81,12021
-3,32,-262,-71,67,26,180,220,-17,56,23.69,12108
-3,32,-262,-72,67,26,183,224,-18,52,23.75,12194
-3,32,-263,-72,67,26,181,222,-18,54,23.75,12281
-3,32,-262,-72,67,26,184,221,-17,53,23.71,12367
-5,31,-261,-72,67,26,182,221,-18,51,23.79,12454
-4,31,-262,-72,68,27,181,222,-18,52,23.71,12540
-3,32,-262,-72,68,26,182,223,-20,55,23.71,12627
-3,31,-262,-72,67,26,180,223,-19,54,23.75,12715
-3,31,-263,-72,67,26,184,223,-18,52,23.69,12801
-3,32,-262,-72,67,26,182,221,-20,51,23.69,12888
-4,33,-263,-72,67,27,182,221,-18,51,23.85,12974
-3,30,-263,-72,68,26,186,224,-19,55,23.85,13061
-4,32,-262,-72,67,26,184,223,-18,53,23.81,13147
-4,31,-264,-72,67,26,182,222,-18,52,23.79,13234
-4,31,-264,-71,67,26,182,222,-19,53,23.85,13320
-4,32,-263,-72,67,26,182,222,-20,53,23.85,13407
-3,31,-262,-72,67,26,183,218,-20,54,23.79,13493
-4,30,-261,-71,67,26,181,224,-17,50,23.79,13580
-3,32,-262,-72,67,26,181,224,-18,53,23.75,13666
-4,32,-263,-71,67,26,184,222,-15,53,23.75,13753
-3,31,-262,-72,68,26,183,221,-15,51,23.81,13839
-3,32,-264,-72,68,26,181,222,-15,50,23.85,13926
-4,32,-263,-72,67,26,182,221,-18,53,23.81,14012
-4,32,-261,-72,67,26,180,223,-17,52,23.81,14099
-5,33,-262,-72,67,26,180,222,-15,53,23.79,14185
-4,32,-264,-72,67,26,180,222,-17,53,23.81,14272
-4,31,-260,-72,67,26,185,222,-21,54,23.91,14358
-3,32,-262,-72,68,26,184,221,-19,55,23.79,14445
-4,32,-262,-72,67,26,182,223,-18,51,23.79,14531
-5,31,-259,-72,67,26,182,222,-19,53,23.85,14618
-4,31,-265,-71,67,26,182,220,-20,54,23.81,14704
-4,31,-264,-72,67,26,183,222,-22,52,23.75,14791
-3,31,-262,-72,68,26,181,224,-16,52,23.65,14877
-3,30,-262,-72,68,26,185,223,-19,54,23.87,14964
-3,33,-263,-72,68,26,186,222,-16,54,23.85,15050
-3,32,-262,-72,68,26,182,224,-18,54,23.87,15137
-5,33,-261,-72,67,26,181,219,-18,50,23.75,15223
-5,32,-264,-72,68,26,182,221,-19,51,23.75,15310
-4,32,-266,-72,67,26,178,221,-18,53,23.71,15397
-2,31,-259,-72,68,26,180,221,-18,54,23.69,15483
-4,31,-266,-72,68,26,185,222,-15,52,23.87,15570
-4,31,-263,-72,68,26,181,226,-17,52,23.79,15656
-3,33,-263,-73,68,26,183,219,-18,53,23.69,15744
-4,32,-263,-71,67,26,182,220,-18,53,23.79,15830
-3,32,-262,-71,67,26,179,226,-19,52,23.75,15917
-4,31,-258,-72,68,26,182,222,-20,56,23.75,16003
-2,32,-261,-72,67,26,183,222,-18,58,23.63,16090
-2,30,-264,-72,67,26,180,223,-18,53,23.69,16176
-3,31,-262,-71,67,26,182,222,-19,52,23.65,16263
-3,33,-261,-71,66,26,180,223,-19,53,23.81,16349
-4,31,-258,-71,66,26,183,219,-19,61,23.81,16436
-3,34,-258,-71,66,26,183,220,-19,53,23.69,16522
-4,32,-267,-74,69,26,184,223,-20,54,23.75,16609
-4,31,-253,-72,67,26,183,222,-18,53,23.75,16695
-4,30,-259,-73,69,26,185,222,-16,52,23.69,16782
-5,31,-264,-72,67,26,186,220,-20,53,23.71,16868
-4,33,-263,-72,68,26,184,220,-18,52,23.75,16955
-5,30,-261,-72,67,26,184,222,-18,55,23.75,17041
-4,31,-262,-72,67,26,183,221,-18,53,23.69,17128
-5,32,-264,-72,67,26,181,222,-19,54,23.85,17214
-4,32,-261,-71,67,26,181,222,-17,54,23.75,17301
-4,31,-263,-72,68,26,181,223,-17,55,23.81,17387
-3,31,-249,-70,68,26,182,221,-17,52,23.81,17474
-6,33,-267,-72,68,26,186,218,-16,49,23.69,17560
-3,32,-261,-72,68,26,184,219,-19,54,23.87,17647
-2,33,-261,-73,67,28,183,223,-18,54,23.91,17734
-3,31,-264,-73,68,25,181,224,-19,54,23.79,17820
-6,33,-272,-72,67,26,184,224,-21,54,23.87,17907
-4,33,-259,-72,68,28,183,221,-22,57,23.81,17993
-2,31,-259,-71,67,25,183,225,-18,52,23.85,18080
-1,30,-260,-71,66,31,183,224,-21,50,23.79,18166
-5,33,-266,-72,66,23,183,228,-24,56,23.79,18253
-2,32,-262,-72,67,27,184,219,-19,52,23.81,18339
-2,31,-261,-73,68,26,182,223,-20,57,23.71,18426
-4,31,-262,-71,67,25,186,222,-20,52,23.71,18512
-5,31,-265,-71,68,28,183,221,-20,54,23.79,18599
-5,29,-261,-72,68,24,183,224,-19,53,23.75,18685
-4,31,-264,-72,68,28,186,222,-20,54,23.87,18772
-1,34,-263,-72,67,25,181,224,-17,52,23.81,18859
-4,31,-263,-72,68,26,179,223,-18,50,23.81,18946
-3,31,-264,-73,68,28,183,220,-19,55,23.79,19032
-5,33,-261,-72,67,25,183,221,-19,52,23.75,19119
-3,32,-265,-72,67,27,182,223,-19,51,23.85,19205
-3,31,-262,-72,67,25,183,223,-16,55,23.79,19292
-3,31,-262,-72,68,26,183,220,-19,54,23.69,19378
-2,32,-261,-72,68,27,180,226,-17,52,23.85,19465
-5,31,-263,-72,67,25,184,226,-18,56,23.85,19551
-3,31,-264,-72,68,28,181,225,-20,52,23.69,19638
-3,31,-261,-72,67,25,183,224,-19,53,23.69,19724
-4,32,-261,-71,67,26,182,223,-19,51,23.69,19811
-2,33,-262,-71,67,27,182,224,-18,53,23.85,19897
-2,30,-264,-72,67,25,184,227,-16,52,23.75,19984
-4,33,-263,-71,68,28,181,226,-21,54,23.71,20071
-7,147,-278,-72,68,26,204,224,-20,50,23.85,20157
-5,29,-263,-71,67,24,183,222,-20,54,23.85,20244
-3,34,-259,-72,67,29,184,222,-20,53,24.03,20330
-4,33,-264,-72,67,22,184,225,-18,53,24.03,20417
-4,31,-263,-71,67,29,184,230,-19,55,23.69,20503
-3,32,-263,-72,67,25,184,222,-21,52,23.71,20590
-5,31,-262,-72,68,25,183,224,-16,54,23.71,20676
-4,32,-262,-72,68,29,182,222,-19,53,23.79,20763
-4,33,-261,-72,67,23,183,222,-21,53,23.81,20849
-4,32,-262,-72,68,28,183,222,-18,54,23.81,20936
-4,32,-262,-72,68,25,185,224,-22,55,23.75,21022
-5,32,-261,-73,68,25,182,224,-17,52,23.71,21109
-3,33,-261,-71,67,29,182,227,-13,55,23.71,21195
-2,33,-258,-72,67,22,180,223,-19,54,23.79,21282
-3,31,-262,-72,68,28,183,224,-18,53,23.85,21368
-3,32,-264,-72,67,25,181,222,-18,55,23.93,21455
-2,31,-265,-72,67,25,179,222,-18,57,23.71,21541
-3,32,-261,-71,67,28,182,222,-18,52,23.87,21628
-4,31,-263,-72,67,24,181,222,-19,56,23.91,21714
-4,32,-262,-71,67,28,183,222,-20,52,23.87,21801
-3,33,-258,-72,68,25,186,222,-16,54,23.87,21888
-4,31,-264,-72,67,25,184,219,-19,54,23.75,21975
-2,33,-261,-72,68,29,183,223,-19,52,23.81,22061
-2,32,-262,-72,67,23,185,222,-20,53,23.85,22148
-4,35,-261,-72,67,28,183,223,-22,53,23.91,22234
-5,31,-267,-71,65,26,184,230,-17,50,23.85,22321
4,-126,-237,-74,69,23,185,222,-21,54,23.79,22408
-3,110,-273,-72,67,28,179,220,-19,52,23.85,22494
-4,33,-261,-72,67,24,182,223,-19,53,23.81,22581
-6,31,-261,-72,68,29,183,222,-21,54,23.81,22667
-3,32,-262,-71,67,26,182,224,-20,52,23.91,22754
-3,32,-264,-73,68,24,181,224,-20,52,23.91,22840
-4,32,-262,-71,67,30,180,224,-19,52,23.97,22927
-4,32,-264,-72,67,24,179,224,-20,53,23.91,23013
-4,31,-260,-73,67,27,183,225,-16,54,23.91,23100
-3,31,-264,-71,67,29,180,224,-18,51,23.91,23186
-4,32,-259,-73,68,21,185,225,-19,54,23.75,23273
-3,30,-265,-71,67,29,182,226,-17,50,23.87,23359
-3,31,-267,-72,63,27,183,230,-19,51,23.87,23446
-6,32,-259,-71,68,23,182,232,-20,53,23.93,23532
-4,34,-259,-74,70,29,184,221,-19,51,23.65,23619
-2,31,-261,-71,67,23,183,222,-17,54,23.91,23705
-4,33,-262,-72,68,28,186,225,-20,52,23.81,23792
-4,33,-262,-71,67,26,183,224,-18,52,23.87,23878
-3,31,-261,-72,68,24,185,224,-19,53,23.85,23965
-3,33,-262,-71,67,28,181,224,-18,52,23.85,24051
-5,32,-262,-72,68,24,182,223,-19,54,23.79,24138
-5,32,-262,-72,67,28,181,227,-21,51,23.79,24224
-1,33,-257,-71,67,24,182,225,-19,55,23.71,24311
-4,31,-263,-72,67,27,183,223,-17,53,23.87,24398
-3,32,-261,-72,67,27,184,221,-20,54,23.97,24484
-4,32,-261,-73,67,24,169,253,-16,50,23.81,24571
-4,10,-261,-71,67,28,188,223,-25,54,23.91,24657
2,-43,-260,-73,67,28,182,223,-18,53,23.91,24744
-3,32,-261,-72,67,24,184,221,-15,55,23.97,24830
-4,32,-263,-72,67,27,181,224,-18,53,23.81,24918
-3,31,-261,-73,68,23,181,222,-19,52,23.81,25004
