Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Compass X,Compass Y,Compass Z,Lidar,Temperature,Time
7,30,-261,-70,73,13,46,114,-201,48,24.03,257
7,29,-263,-69,72,26,50,112,-200,50,24.03,344
10,30,-263,-70,73,25,50,115,-200,46,24.03,430
6,29,-264,-70,73,19,47,114,-201,48,23.99,517
7,29,-262,-70,73,20,47,113,-200,45,23.93,603
3,25,-262,-67,72,26,48,113,-201,45,23.97,689
8,29,-263,-72,73,17,48,116,-199,48,23.97,776
7,30,-261,-70,73,27,49,113,-201,47,23.99,862
5,25,-281,-69,74,20,51,116,-198,49,23.97,949
6,28,-265,-70,72,24,51,116,-197,46,23.97,1035
8,30,-261,-70,72,23,57,121,-199,50,23.93,1122
7,30,-262,-70,72,19,55,116,-194,45,23.93,1208
6,29,-263,-70,72,23,55,117,-197,45,23.97,1294
10,43,-275,-70,72,24,52,123,-197,48,23.85,1381
-20,46,-274,-70,72,18,32,151,-132,47,23.91,1467
3,16,-262,-70,72,18,60,193,-201,48,23.93,1554
6,25,-265,-69,71,31,45,144,-193,50,23.87,1640
8,25,-265,-70,72,18,48,203,-201,49,23.81,1727
6,31,-262,-71,72,13,59,178,-195,50,23.81,1813
7,31,-262,-69,72,32,55,116,-199,49,23.81,1900
10,31,-262,-70,72,24,57,119,-195,45,23.87,1986
6,27,-264,-72,72,11,58,113,-193,48,23.87,2073
4,29,-263,-69,71,29,58,117,-197,46,23.97,2159
9,31,-263,-70,71,28,60,119,-201,46,23.91,2246
6,30,-260,-70,72,12,59,116,-195,44,23.97,2332
4,29,-263,-69,72,23,59,116,-197,47,23.85,2419
8,29,-262,-69,72,29,56,115,-194,47,23.85,2505
6,30,-260,-70,72,16,57,116,-197,45,23.91,2592
5,28,-264,-70,72,21,55,117,-195,49,23.93,2678
6,30,-264,-69,72,28,61,114,-196,46,23.79,2764
7,29,-264,-70,72,18,53,117,-193,45,23.93,2851
6,29,-265,-71,72,18,56,118,-196,47,23.97,2937
7,29,-262,-69,71,28,52,126,-132,45,23.97,3024
39,29,-271,-71,71,22,61,114,-205,45,23.87,3110
0,34,-268,-71,72,18,60,108,-193,49,23.87,3197
6,28,-260,-70,71,21,35,199,-200,47,23.87,3283
3,-37,-250,-69,72,26,40,221,-195,50,23.93,3371
16,39,-268,-69,71,19,64,115,-200,50,23.97,3457
-3,52,-273,-70,72,20,53,124,-139,47,23.91,3544
3,111,-280,-70,72,23,60,116,-196,49,23.91,3630
18,45,-273,-69,72,21,57,111,-192,48,23.85,3717
6,31,-264,-69,72,24,58,116,-190,44,23.91,3803
6,29,-263,-70,72,20,59,117,-193,49,23.97,3890
6,30,-263,-69,72,23,56,114,-194,46,23.91,3976
7,29,-261,-70,72,23,56,114,-195,51,23.91,4063
6,29,-262,-69,71,21,60,117,-194,47,23.81,4149
7,28,-265,-70,71,22,61,116,-193,50,23.81,4235
6,28,-265,-70,71,20,57,116,-194,49,23.81,4322
7,30,-262,-69,71,25,59,115,-193,44,23.87,4408
8,30,-266,-70,71,21,57,118,-194,44,23.91,4495
5,29,-262,-70,71,20,57,117,-197,48,23.87,4581
5,29,-262,-69,71,24,61,112,-196,48,23.87,4668
8,29,-263,-70,72,23,42,198,-196,45,23.87,4754
22,17,-263,-70,71,19,28,243,-197,48,23.85,4841
-11,89,-262,-69,71,25,37,161,-185,45,23.81,4927
33,27,-270,-69,71,24,68,118,-195,45,24.03,5014
-2,-3,-257,-70,72,19,60,113,-195,48,23.85,5100
6,30,-264,-69,71,23,55,114,-198,48,23.93,5187
6,31,-263,-69,71,25,56,116,-194,50,23.97,5273
5,30,-264,-70,71,18,59,115,-193,46,23.85,5360
6,30,-263,-69,72,23,62,114,-195,48,23.99,5446
8,29,-263,-69,71,26,58,113,-194,47,23.99,5532
6,30,-262,-70,71,19,57,118,-192,48,23.93,5619
5,30,-263,-70,71,21,60,118,-195,48,23.91,5705
6,29,-264,-69,71,26,60,118,-194,44,23.93,5792
7,30,-263,-75,-258,-258,61,117,-193,47,23.87,5878
6,29,-263,-70,71,20,59,117,-193,46,23.91,5965
7,28,-263,-70,70,25,60,116,-197,44,23.85,6051
7,29,-263,-70,71,22,57,114,-194,45,23.85,6138
7,30,-263,-70,71,20,58,116,-195,48,23.85,6224
6,29,-263,-69,71,23,58,115,-196,47,24.09,6311
6,30,-265,-70,71,23,57,113,-194,47,23.93,6397
7,30,-264,-70,71,20,58,114,-194,46,23.97,6484
7,29,-264,-69,72,23,57,116,-194,48,23.97,6571
7,29,-263,-69,71,24,59,118,-193,47,23.93,6658
6,29,-264,-70,72,20,59,115,-197,49,23.93,6744
6,30,-264,-70,72,22,60,116,-195,48,23.81,6830
6,30,-264,-70,71,24,59,115,-197,47,23.79,6917
7,30,-263,-69,71,21,58,116,-194,49,23.79,7003
5,29,-264,-69,71,21,57,116,-196,43,23.93,7090
6,31,-264,-69,71,24,61,117,-195,45,23.87,7176
7,31,-262,-70,71,22,58,116,-195,45,23.79,7263
6,30,-262,-69,71,21,56,118,-196,48,23.91,7349
6,30,-262,-69,71,23,57,117,-195,46,23.75,7436
6,30,-261,-69,71,22,61,118,-196,46,23.91,7522
6,30,-263,-70,71,21,59,116,-195,47,23.91,7609
7,30,-264,-69,71,22,56,116,-193,46,23.91,7695
8,29,-262,-70,71,23,59,117,-194,49,23.91,7782
5,29,-262,-70,71,21,58,114,-194,45,23.85,7868
5,30,-264,-70,72,22,59,111,-196,46,23.91,7954
7,30,-262,-69,71,23,57,114,-196,47,23.81,8041
6,30,-263,-70,71,22,58,116,-193,47,23.99,8127
5,30,-265,-69,71,22,59,116,-191,47,23.81,8214
7,29,-262,-70,71,23,58,115,-195,46,23.91,8300
6,30,-260,-70,71,22,57,115,-194,49,23.79,8387
7,30,-264,-69,71,22,57,117,-195,46,23.79,8473
6,29,-263,-70,71,23,64,215,-159,49,23.85,8560
-20,8,-235,-66,76,18,241,19,94,47,23.87,8646
-3,39,-281,-73,68,22,-85,319,-507,46,23.81,8733
37,13,-270,-68,67,24,40,-104,-387,48,23.75,8819
34,28,-167,-98,60,27,55,193,-118,49,23.75,8906
47,17,-300,-98,55,35,22,26,-217,48,23.71,8992
61,-23,-159,-30,84,47,57,109,-147,45,23.79,9079
59,34,-314,-71,74,24,58,114,-193,48,23.79,9165
-51,32,-237,-67,73,29,58,113,-197,47,23.63,9252
3,12,-208,-68,76,19,57,114,-195,44,23.65,9338
6,3,-221,-77,71,17,59,111,-197,48,23.59,9424
6,24,-270,-63,74,29,57,112,-193,47,23.63,9511
19,40,-260,-74,71,20,63,110,-194,46,23.63,9597
7,33,-250,-60,73,19,61,113,-194,45,23.51,9684
8,34,-275,-70,69,26,57,112,-196,46,23.59,9771
15,39,-279,-67,72,23,61,112,-194,46,23.63,9858
5,28,-256,-68,71,19,60,109,-198,46,23.63,9944
11,28,-234,-71,71,23,56,115,-194,47,23.57,10031
10,34,-254,-69,71,25,56,112,-198,47,23.45,10117
8,30,-268,-72,71,18,61,112,-196,47,23.53,10204
4,28,-265,-68,73,24,59,114,-196,48,23.63,10290
5,32,-266,-72,70,27,57,111,-197,46,23.51,10377
3,28,-274,-70,71,21,58,112,-199,44,23.57,10463
5,29,-264,-70,70,23,59,117,-197,45,23.63,10550
3,24,-251,-68,70,26,59,111,-191,44,23.63,10636
13,35,-266,-70,71,22,57,113,-197,45,23.53,10723
16,31,-257,-70,70,24,62,115,-193,47,23.57,10810
1,31,-253,-71,71,25,58,114,-202,47,23.59,10896
6,30,-262,-69,71,19,62,113,-191,48,23.65,10983
6,35,-265,-70,71,22,57,114,-197,48,23.75,11069
2,27,-266,-69,71,28,55,111,-196,47,23.59,11156
5,31,-280,-70,71,18,65,113,-194,51,23.65,11242
2,27,-254,-72,71,21,58,111,-193,45,23.65,11329
16,38,-234,-67,71,28,60,112,-193,47,23.71,11415
7,33,-281,-69,71,21,57,113,-192,49,23.65,11502
6,25,-254,-72,71,19,59,115,-194,49,23.75,11588
4,31,-276,-69,71,26,63,111,-200,48,23.71,11675
7,33,-264,-70,71,22,56,110,-193,49,23.69,11761
5,27,-257,-70,71,19,57,110,-195,51,23.85,11848
8,25,-264,-69,70,26,58,112,-197,45,23.69,11934
9,30,-262,-70,71,24,59,112,-194,49,23.69,12021
3,28,-269,-70,71,19,61,113,-197,47,23.81,12107
6,28,-265,-70,71,24,59,110,-198,45,23.65,12194
7,29,-262,-70,71,25,59,111,-196,48,23.79,12280
7,29,-264,-70,71,19,59,111,-194,50,23.69,12367
5,29,-265,-70,71,22,61,112,-195,49,23.71,12453
6,29,-263,-69,71,27,56,112,-195,50,23.69,12540
6,31,-264,-70,71,23,89,85,-151,48,23.71,12626
1,21,-270,-74,71,18,4,58,-278,49,23.71,12713
-7,25,-285,-72,68,24,128,-166,-248,48,23.75,12800
-6,26,-254,-70,72,25,64,53,-165,45,23.63,12887
-3,48,-248,-71,67,16,60,130,-178,47,23.71,12973
5,34,-290,-65,68,22,58,111,-196,46,23.65,13060
20,26,-240,-69,71,29,60,113,-192,48,23.59,13146
10,34,-259,-78,72,16,71,85,-183,45,23.53,13233
-11,12,-256,-69,71,22,72,108,-192,49,23.63,13319
8,23,-257,-66,72,27,50,116,-195,46,23.63,13406
20,35,-251,-69,71,20,47,141,-213,50,23.63,13492
7,28,-285,-71,71,21,56,112,-196,48,23.59,13579
-3,38,-262,-76,68,25,57,113,-195,46,23.45,13665
-4,26,-243,-68,72,20,56,111,-194,49,23.47,13752
