Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Compass X,Compass Y,Compass Z,Lidar,Temperature,Time
-8,32,-257,-72,72,26,168,258,-225,55,24.15,257
-6,33,-264,-73,72,28,167,255,-223,52,24.15,344
-7,34,-262,-78,79,26,170,253,-223,49,24.03,430
-7,37,-248,-66,69,45,167,248,-223,50,23.97,517
-6,34,-267,-69,69,18,168,256,-222,49,24.03,603
-8,31,-259,-74,70,30,172,258,-224,51,23.93,690
-5,35,-263,-72,71,34,172,257,-224,50,23.99,776
-6,33,-262,-74,72,23,173,261,-224,50,24.03,863
-7,32,-259,-73,72,27,173,257,-223,48,23.87,949
-6,34,-261,-72,71,33,173,256,-223,49,23.87,1036
-7,33,-263,-74,71,26,172,257,-224,50,23.99,1122
-9,31,-261,-72,72,25,171,258,-227,48,23.87,1209
-8,31,-261,-72,71,33,171,260,-223,48,23.93,1295
-27,54,-257,-69,76,0,150,337,-224,49,23.87,1382
1,152,-280,-72,75,-9,138,321,-198,49,23.97,1468
-1,19,-252,-63,68,81,173,331,-226,53,23.99,1555
-4,48,-271,-77,72,-1,178,253,-219,49,23.93,1641
-14,29,-259,-71,70,39,173,308,-204,54,23.93,1728
-1,20,-258,-71,71,42,168,258,-222,50,23.93,1814
-8,31,-263,-76,72,10,171,259,-221,47,23.99,1901
-10,32,-261,-72,71,29,172,259,-222,50,23.75,1987
-2,34,-260,-71,71,39,171,259,-222,49,23.81,2074
-6,34,-260,-75,71,16,174,259,-221,49,23.75,2160
-10,31,-262,-72,71,27,174,259,-221,49,23.97,2247
-4,35,-261,-71,71,40,170,256,-224,50,23.93,2333
-4,34,-262,-74,72,21,172,258,-221,50,23.81,2420
-10,32,-259,-73,71,23,171,258,-221,52,23.87,2506
-5,34,-260,-72,71,37,173,258,-222,50,23.87,2593
-5,34,-262,-73,71,25,172,261,-222,49,23.93,2680
-8,32,-261,-73,71,22,171,261,-223,50,23.93,2766
-7,32,-262,-71,71,35,172,258,-224,50,23.79,2853
-3,33,-263,-72,71,28,176,256,-220,49,23.85,2939
-8,34,-261,-74,72,21,173,259,-223,51,23.93,3026
-25,139,-277,-72,71,33,162,241,-223,49,23.93,3112
-6,49,-266,-93,-1,-1,174,260,-222,52,23.93,3200
-7,33,-260,-73,71,25,174,257,-218,49,23.93,3286
3,11,-247,-73,71,29,176,257,-222,48,23.87,3373
-16,113,-260,-72,70,32,173,255,-222,51,23.71,3459
