Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Compass X,Compass Y,Compass Z,Lidar,Temperature,Time
-2,32,-263,-69,74,33,21,106,100,75,23.71,257
-1,35,-265,-74,77,21,21,108,98,76,23.59,344
0,35,-264,-72,74,27,21,107,98,73,23.69,430
-1,33,-264,-71,76,30,19,106,98,76,23.69,516
-6,32,-259,-72,74,22,21,105,101,75,23.79,603
-10,28,-262,-71,75,25,23,105,97,77,23.63,689
-4,31,-262,-73,73,23,24,106,101,76,23.75,776
-4,33,-263,-72,73,29,22,104,98,77,23.71,862
1,38,-274,-74,73,28,21,102,99,74,23.71,948
-1,35,-258,-72,73,23,26,104,99,75,23.69,1035
-3,33,-262,-71,73,26,23,103,98,74,23.65,1121
-1,33,-265,-72,74,27,24,105,98,77,23.63,1208
-4,34,-261,-71,73,23,26,104,98,76,23.75,1294
0,38,-253,-71,73,29,21,108,214,74,23.65,1380
-1,32,-264,-72,74,24,14,111,100,76,23.65,1467
8,26,-264,-71,74,24,20,113,102,77,23.65,1553
4,37,-264,-72,74,29,1,111,152,78,23.65,1640
-5,30,-265,-72,74,23,7,123,102,73,23.63,1726
-13,31,-263,-71,73,28,20,101,99,76,23.69,1813
-4,33,-264,-71,73,23,24,107,100,73,23.57,1899
-3,32,-261,-71,73,26,20,112,100,75,23.69,1986
-2,33,-263,-72,74,25,23,109,100,75,23.63,2072
-4,31,-268,-72,73,27,21,104,102,76,23.75,2158
-2,32,-261,-72,73,26,23,107,100,77,23.59,2245
-3,32,-259,-71,73,25,20,105,97,76,23.59,2331
-3,33,-260,-70,74,27,21,106,99,74,23.59,2418
-2,33,-265,-72,74,24,24,105,101,75,23.69,2504
-4,31,-261,-70,73,26,20,104,96,75,23.53,2591
-4,32,-263,-72,73,27,21,104,97,75,23.57,2677
-3,32,-261,-72,73,25,25,103,99,72,23.57,2763
-3,31,-262,-72,74,26,23,104,99,75,23.57,2850
-3,33,-261,-71,73,26,24,103,98,76,23.53,2936
-3,33,-262,-71,73,25,27,104,95,76,23.53,3023
-29,12,-275,-71,74,25,10,202,93,76,23.47,3109
-22,20,-275,-71,73,25,26,96,103,74,23.57,3196
-7,26,-271,-71,73,29,24,109,121,73,23.53,3282
11,49,-251,-72,74,20,17,227,95,77,23.53,3369
2,46,-255,-70,74,32,31,109,94,74,23.57,3456
-1,41,-257,-71,73,23,19,113,196,74,23.59,3542
-8,45,-258,-72,74,24,36,111,100,74,23.69,3629
-21,31,-270,-71,73,31,26,107,100,75,23.69,3715
-3,33,-262,-72,74,19,19,109,101,76,23.59,3802
-4,33,-264,-71,73,31,22,107,100,75,23.51,3888
-3,33,-264,-70,73,26,22,109,100,75,23.57,3975
-5,32,-260,-71,73,21,24,106,98,75,23.51,4061
-3,31,-262,-71,73,32,24,106,100,74,23.69,4148
-2,31,-259,-70,74,22,21,107,100,73,23.53,4234
