Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z,Compass X,Compass Y,Compass Z,Lidar,Temperature,Time
-6,32,-260,-71,72,31,12,133,-240,52,23.99,257
-2,33,-262,-72,72,29,8,134,-239,52,23.99,344
-4,34,-258,-72,73,17,9,132,-240,51,23.99,430
-6,31,-263,-73,72,17,11,134,-239,52,24.03,517
-8,31,-256,-71,71,27,14,135,-242,47,23.99,603
-3,37,-258,-72,73,19,12,134,-239,49,23.87,689
-2,33,-263,-72,74,28,10,133,-241,51,23.91,776
-14,27,-263,-67,71,24,9,135,-237,50,23.79,862
1,32,-257,-67,71,56,10,135,-239,51,23.87,949
0,33,-258,-74,73,7,10,133,-238,48,23.87,1035
-11,31,-261,-73,72,18,10,135,-239,51,23.93,1121
-2,36,-263,-68,71,49,12,134,-241,49,23.91,1208
0,34,-262,-73,72,18,15,134,-237,49,23.93,1294
5,-13,-255,-73,73,16,13,132,-241,52,23.87,1381
-6,50,-259,-69,71,43,7,140,-244,51,23.93,1467
-1,41,-256,-73,72,19,-4,164,-242,52,23.85,1554
-4,39,-262,-71,72,19,4,141,-222,50,23.91,1640
-5,24,-264,-69,72,41,12,132,-216,51,23.87,1727
-5,26,-259,-72,72,20,-1,135,-196,51,23.87,1813
-9,34,-260,-72,72,18,8,133,-237,51,23.87,1899
-5,34,-262,-70,71,37,10,134,-234,50,23.85,1986
-1,34,-260,-71,71,29,10,136,-237,50,23.79,2072
-6,36,-263,-74,72,13,14,134,-238,54,23.87,2159
-6,33,-260,-71,72,31,13,135,-237,51,23.85,2245
-1,35,-262,-70,71,37,12,135,-238,49,23.87,2332
-4,33,-263,-73,72,16,14,133,-238,49,23.87,2418
-7,33,-261,-72,72,24,11,137,-238,53,23.87,2505
-3,33,-263,-69,71,37,10,135,-238,50,23.87,2591
-2,34,-263,-72,72,21,9,136,-238,49,23.75,2678
-7,33,-262,-72,72,20,14,134,-235,48,23.81,2764
-4,32,-263,-70,72,33,12,135,-235,50,23.85,2851
-1,33,-262,-72,72,27,11,137,-238,48,23.81,2937
-4,31,-262,-72,72,19,16,134,-240,49,23.91,3024
-3,-27,-261,-71,71,30,8,133,-164,48,23.79,3110
-6,-15,-257,-72,72,29,19,128,-241,53,23.81,3196
-4,23,-262,-72,72,23,5,145,-182,51,23.81,3283
7,-17,-250,-72,72,27,16,141,-234,51,23.85,3369
-5,-31,-259,-71,72,30,10,132,-238,52,23.79,3457
0,44,-282,-71,71,25,16,144,-236,53,23.87,3543
5,-70,-244,-73,72,21,10,132,-237,52,23.79,3630
